#unkc
#track 2
#inst 5
#unk6 7
#volume 50
..|A-5.v2|B-5.v2|D-6.v2|F#6.v2
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|===...|......
..|......|===...|......|===...
#join
..|===...|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|B-5.v2|E-6.v2|G#5.v2|C#6.v2
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|......|......|......|......
..|===...|===...|......|......
..|......|......|===...|===...
#halt
#halt
